"Identification code",Name,"Members FTE","Lobbying cost","Interest represented","Head office","EU office","EP passes on 2026-05-25","all EP passes",Meetings,"Lobbyfacts URL"
6652139101792-19,"Magyar Gazdakörök és Gazdaszövetkezetek Szövetsége",3,50000,"Promotes their own interests or the collective interests of their members",HUNGARY,HUNGARY,,,,https://www.lobbyfacts.eu/datacard/magyar-gazdakörök-és-gazdaszövetkezetek-szövetsége?rid=6652139101792-19
667135650040-95,"Bundesverband der Schuh- und Lederwarenindustrie",0.35,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/bundesverband-der-schuh--und-lederwarenindustrie?rid=667135650040-95
667722117423-68,"Quimidroga S.A.",0.25,50000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/quimidroga-sa?rid=667722117423-68
667755396788-13,"Christelijk Nationaal Vakverbond",1.25,50000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/christelijk-nationaal-vakverbond?rid=667755396788-13
668292216120-05,"Alliance for the Freedom of Car Repair",1.5,50000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,1,20,https://www.lobbyfacts.eu/datacard/alliance-for-the-freedom-of-car-repair?rid=668292216120-05
669118291680-12,VIRBAC,0.35,50000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/virbac?rid=669118291680-12
669698645749-43,"Ledger SAS",1,50000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,2,9,4,https://www.lobbyfacts.eu/datacard/ledger-sas?rid=669698645749-43
669739195910-76,"VICAT S.A.",0.6,50000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,2,2,5,https://www.lobbyfacts.eu/datacard/vicat-sa?rid=669739195910-76
669749496289-58,"GROUPE LACROIX",0.1,50000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/groupe-lacroix?rid=669749496289-58
670448449226-08,"Arc Bio Communications",0.3,50000,"Advances interests of their clients","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/arc-bio-communications?rid=670448449226-08
671171147515-60,"Garmin Ltd.",0.2,50000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,SWITZERLAND,,,,https://www.lobbyfacts.eu/datacard/garmin-ltd?rid=671171147515-60
672436629443-54,"DVKG Deutsche Visa uns Konsular Gesellschaft mbH",1,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/dvkg-deutsche-visa-uns-konsular-gesellschaft-mbh?rid=672436629443-54
673144424081-21,Lubrizol,0.75,50000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,1,9,3,https://www.lobbyfacts.eu/datacard/lubrizol?rid=673144424081-21
673583995947-80,"Society for Corporate Governance",0.2,50000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,,1,https://www.lobbyfacts.eu/datacard/society-for-corporate-governance?rid=673583995947-80
674168444299-26,"TIAO SA",0.7,50000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,1,https://www.lobbyfacts.eu/datacard/tiao-sa?rid=674168444299-26
674969493466-37,"HUPX Hungarian Power Exchange Company Limited by Shares",1.4,50000,"Promotes their own interests or the collective interests of their members",HUNGARY,HUNGARY,,,,https://www.lobbyfacts.eu/datacard/hupx-hungarian-power-exchange-company-limited-by-shares?rid=674969493466-37
675180599141-94,"Sulapac Oy",0.1,50000,"Promotes their own interests or the collective interests of their members",FINLAND,FINLAND,,,1,https://www.lobbyfacts.eu/datacard/sulapac-oy?rid=675180599141-94
676235625673-28,"Zebra Technologies Corporation",0.2,50000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,,2,https://www.lobbyfacts.eu/datacard/zebra-technologies-corporation?rid=676235625673-28
677953948635-68,"Konfederácia odborových zväzov Slovenskej republiky",1.35,50000,"Promotes their own interests or the collective interests of their members",SLOVAKIA,SLOVAKIA,,,,https://www.lobbyfacts.eu/datacard/konfederácia-odborových-zväzov-slovenskej-republiky?rid=677953948635-68
67826544528-01,"Grünenthal GmbH",0.1,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,12,,https://www.lobbyfacts.eu/datacard/grünenthal-gmbh?rid=67826544528-01
678366044152-83,"CONSEJO GENERAL DE COLEGIOS DE GESTORES ADMINISTRATIVOS DE ESPAÑA",0.9,50000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,6,,https://www.lobbyfacts.eu/datacard/consejo-general-de-colegios-de-gestores-administrativos-de-españa?rid=678366044152-83
678764439101-66,"Biologische Heilmittel Heel GmbH",0.45,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/biologische-heilmittel-heel-gmbh?rid=678764439101-66
6791900101248-34,"NOVIS Insurance Company, NOVIS Versicherungsgesellschaft, NOVIS Compagnia di Assicurazioni, NOVIS Poisťovňa a.s.",0.1,50000,"Promotes their own interests or the collective interests of their members",SLOVAKIA,SLOVAKIA,,,,https://www.lobbyfacts.eu/datacard/novis-insurance-company-novis-versicherungsgesellschaft-novis-compagnia-di-assicurazioni-novis-poisťovňa-as?rid=6791900101248-34
679321111546-68,"Milcherzeugergemeinschaft Milch Board",1,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/milcherzeugergemeinschaft-milch-board?rid=679321111546-68
679589439472-71,"SCR-Sibelco NV",0.75,50000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/scr-sibelco-nv?rid=679589439472-71
67972672748-71,Embuild,1,50000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,1,13,,https://www.lobbyfacts.eu/datacard/embuild?rid=67972672748-71
680069530746-88,"Flix SE",2.1,50000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,1,25,16,https://www.lobbyfacts.eu/datacard/flix-se?rid=680069530746-88
680374991569-45,"SolarEdge Technologies Inc",0.7,50000,"Promotes their own interests or the collective interests of their members","UNITED STATES",GERMANY,1,3,7,https://www.lobbyfacts.eu/datacard/solaredge-technologies-inc?rid=680374991569-45
680874299633-90,"Asociatia Distribuitorilor Europeni de Medicamente",2.5,50000,"Promotes their own interests or the collective interests of their members",ROMANIA,ROMANIA,,,,https://www.lobbyfacts.eu/datacard/asociatia-distribuitorilor-europeni-de-medicamente?rid=680874299633-90
681141945748-10,"Romanian Association of Banks",0.45,50000,"Promotes their own interests or the collective interests of their members",ROMANIA,ROMANIA,,,2,https://www.lobbyfacts.eu/datacard/romanian-association-of-banks?rid=681141945748-10
681177416275-05,"ARGE Netz GmbH & Co. KG",1,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,5,2,https://www.lobbyfacts.eu/datacard/arge-netz-gmbh--co-kg?rid=681177416275-05
681405338386-21,"Centar za vozila Hrvatske d.d.",0.5,50000,"Promotes their own interests or the collective interests of their members",CROATIA,CROATIA,,,,https://www.lobbyfacts.eu/datacard/centar-za-vozila-hrvatske-dd?rid=681405338386-21
682528321748-54,"Total Diet & Meal Replacements Europe",0.5,50000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/total-diet--meal-replacements-europe?rid=682528321748-54
682619142453-64,CERTIPASS,0.5,50000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/certipass?rid=682619142453-64
683090250281-18,"Hellenic Association of Independent Power Producers",1.35,50000,"Promotes their own interests or the collective interests of their members",GREECE,GREECE,,,,https://www.lobbyfacts.eu/datacard/hellenic-association-of-independent-power-producers?rid=683090250281-18
683791816131-14,"Industrie-Verband Motorrad Deutschland e.V.",0.5,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/industrie-verband-motorrad-deutschland-ev?rid=683791816131-14
684158991732-55,"U.S. Hop Industry Plant Protection Committee",0.35,50000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,,,https://www.lobbyfacts.eu/datacard/us-hop-industry-plant-protection-committee?rid=684158991732-55
684980496970-15,"EUROPEAN MOLASSES IMPORTERS AND DISTRIBUTORS ASSOCIATION",0.5,50000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/european-molasses-importers-and-distributors-association?rid=684980496970-15
685280738607-49,ALTERMIND,2,50000,"Advances interests of their clients",FRANCE,BELGIUM,,2,3,https://www.lobbyfacts.eu/datacard/altermind?rid=685280738607-49
685912394433-78,ABE-METASystems,0.2,50000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/abe-metasystems?rid=685912394433-78
686002336313-34,"Tinexta InfoCert SpA",1,50000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/tinexta-infocert-spa?rid=686002336313-34
686109591749-73,"Europäischer Wirtschaftssenat",1.05,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/europäischer-wirtschaftssenat?rid=686109591749-73
6863822100880-02,"Crusoe Energy Systems, LLC",0.3,50000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",1,1,1,https://www.lobbyfacts.eu/datacard/crusoe-energy-systems-llc?rid=6863822100880-02
686614515317-96,"SIDUL AÇÚCARES, UNIPESSOAL, LDA.",0.5,50000,"Promotes their own interests or the collective interests of their members",PORTUGAL,PORTUGAL,1,13,3,https://www.lobbyfacts.eu/datacard/sidul-açúcares-unipessoal-lda?rid=686614515317-96
687446333025-56,"The European Chamber of Commerce in Hong Kong",1,50000,"Promotes their own interests or the collective interests of their members","HONG KONG","HONG KONG",,,1,https://www.lobbyfacts.eu/datacard/the-european-chamber-of-commerce-in-hong-kong?rid=687446333025-56
687748032165-82,"Sonae SGPS, S.A.",1.5,50000,"Promotes their own interests or the collective interests of their members",PORTUGAL,PORTUGAL,2,14,7,https://www.lobbyfacts.eu/datacard/sonae-sgps-sa?rid=687748032165-82
6889144102874-63,"Daicel Corporation",0.5,50000,"Promotes their own interests or the collective interests of their members",JAPAN,JAPAN,,,,https://www.lobbyfacts.eu/datacard/daicel-corporation?rid=6889144102874-63
6897749194-37,"BRITA SE",0.75,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,2,https://www.lobbyfacts.eu/datacard/brita-se?rid=6897749194-37
689830650229-10,"Osttra Group",0.1,50000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,,2,https://www.lobbyfacts.eu/datacard/osttra-group?rid=689830650229-10
689863247987-57,"European Timber Industries Confederation AISBL",1.6,50000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/european-timber-industries-confederation-aisbl?rid=689863247987-57
690541750098-26,"Interconnector Ltd",0.85,50000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,,1,https://www.lobbyfacts.eu/datacard/interconnector-ltd?rid=690541750098-26
690734951702-38,"Dr. Christina Berking",0.5,50000,"Advances interests of their clients",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/dr-christina-berking?rid=690734951702-38
6907488101079-25,Deel,0.25,50000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,,2,https://www.lobbyfacts.eu/datacard/deel?rid=6907488101079-25
690786127465-40,"Viewpoint Group",1.75,50000,"Advances interests of their clients",POLAND,POLAND,1,19,4,https://www.lobbyfacts.eu/datacard/viewpoint-group?rid=690786127465-40
69219137373-47,"Stena AB",0.5,50000,"Promotes their own interests or the collective interests of their members",SWEDEN,SWEDEN,,,4,https://www.lobbyfacts.eu/datacard/stena-ab?rid=69219137373-47
6929465102299-04,"Sympatex Technologies GmbH",0.1,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/sympatex-technologies-gmbh?rid=6929465102299-04
6943502101156-47,"Neogames Finland",1,50000,"Promotes their own interests or the collective interests of their members",FINLAND,FINLAND,1,1,,https://www.lobbyfacts.eu/datacard/neogames-finland?rid=6943502101156-47
694466214317-80,"Association Belge des Consommateurs Test-Achats / Belgische Verbruikersunie Test-Aankoop",1,50000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,1,2,https://www.lobbyfacts.eu/datacard/association-belge-des-consommateurs-test-achats---belgische-verbruikersunie-test-aankoop?rid=694466214317-80
694694799135-15,"Entrust Corporation",0.65,50000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,,,https://www.lobbyfacts.eu/datacard/entrust-corporation?rid=694694799135-15
6956330100815-07,"All About Water",1.75,50000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,,1,https://www.lobbyfacts.eu/datacard/all-about-water?rid=6956330100815-07
69597322458-18,"Federation of European National Collection Associations",1,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,1,2,https://www.lobbyfacts.eu/datacard/federation-of-european-national-collection-associations?rid=69597322458-18
697003427612-81,"Akuo Energy",1,50000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,11,https://www.lobbyfacts.eu/datacard/akuo-energy?rid=697003427612-81
699006341748-20,"Back Market",1.5,50000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,1,5,6,https://www.lobbyfacts.eu/datacard/back-market?rid=699006341748-20
699835616665-41,"APPLiA Bulgaria",1,50000,"Promotes their own interests or the collective interests of their members",BULGARIA,BULGARIA,,,1,https://www.lobbyfacts.eu/datacard/applia-bulgaria?rid=699835616665-41
6999713102158-25,"Koninklijke Nederlandse Beroepsorganisatie van Accountants",0.5,50000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/koninklijke-nederlandse-beroepsorganisatie-van-accountants?rid=6999713102158-25
7009802101519-03,"TS Conductor Corp.",2.5,50000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,,,https://www.lobbyfacts.eu/datacard/ts-conductor-corp?rid=7009802101519-03
701118397425-19,"Tabaqueira II",0.3,50000,"Promotes their own interests or the collective interests of their members",PORTUGAL,PORTUGAL,2,2,,https://www.lobbyfacts.eu/datacard/tabaqueira-ii?rid=701118397425-19
701315792310-64,"Travalyst Ltd",1.2,50000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,,4,https://www.lobbyfacts.eu/datacard/travalyst-ltd?rid=701315792310-64
7013477846-25,"International Video Federation",0.25,50000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,1,17,4,https://www.lobbyfacts.eu/datacard/international-video-federation?rid=7013477846-25
7013527103086-49,"Asociación Hipotecaria Española",0.5,50000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/asociación-hipotecaria-española?rid=7013527103086-49
701752598846-24,"Company for trade and services TRIMAKS LLC Skopje",3.25,50000,"Promotes their own interests or the collective interests of their members","NORTH MACEDONIA","NORTH MACEDONIA",,,,https://www.lobbyfacts.eu/datacard/company-for-trade-and-services-trimaks-llc-skopje?rid=701752598846-24
702152628415-31,"Thüga Aktiengesellschaft",1.3,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,1,9,3,https://www.lobbyfacts.eu/datacard/thüga-aktiengesellschaft?rid=702152628415-31
702670233004-61,"Savez samostalnih sindikata Srbije / Confederation of Autonomous Trade Unions of Serbia",2.25,50000,"Promotes their own interests or the collective interests of their members",SERBIA,SERBIA,,,,https://www.lobbyfacts.eu/datacard/savez-samostalnih-sindikata-srbije---confederation-of-autonomous-trade-unions-of-serbia?rid=702670233004-61
703612947384-82,"fritz-kola GmbH",0.45,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,1,https://www.lobbyfacts.eu/datacard/fritz-kola-gmbh?rid=703612947384-82
705504448958-09,"BHB-Handelsverband Heimwerken, Bauen und Garten e.V.",0.7,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/bhb-handelsverband-heimwerken-bauen-und-garten-ev?rid=705504448958-09
705739621614-13,"EUCED - Instituição Europeia de Cooperação Económica e Desenvolvimento",1.25,50000,"Promotes their own interests or the collective interests of their members",PORTUGAL,PORTUGAL,,11,1,https://www.lobbyfacts.eu/datacard/euced---instituição-europeia-de-cooperação-económica-e-desenvolvimento?rid=705739621614-13
705898650654-63,"Foodrise Limited",0.5,50000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/foodrise-limited?rid=705898650654-63
706224648687-68,"ΠΑΓΚΥΠΡΙΑ ΕΡΓΑΤΙΚΗ ΟΜΟΣΠΟΝΔΙΑ",1.25,50000,"Promotes their own interests or the collective interests of their members",CYPRUS,CYPRUS,,,3,https://www.lobbyfacts.eu/datacard/παγκυπρια-εργατικη-ομοσπονδια?rid=706224648687-68
706971029681-51,"Austrian National Youth Council",1.5,50000,"Promotes their own interests or the collective interests of their members",AUSTRIA,AUSTRIA,,3,,https://www.lobbyfacts.eu/datacard/austrian-national-youth-council?rid=706971029681-51
707197749527-51,"The Employers' Union of Innovative Pharmaceutical Companies",0.2,50000,"Promotes their own interests or the collective interests of their members",POLAND,POLAND,,3,,https://www.lobbyfacts.eu/datacard/the-employers-union-of-innovative-pharmaceutical-companies?rid=707197749527-51
707827944072-40,"GM Relazioni Istituzionali UE Sagl",1,50000,"Advances interests of their clients",SWITZERLAND,BELGIUM,1,5,,https://www.lobbyfacts.eu/datacard/gm-relazioni-istituzionali-ue-sagl?rid=707827944072-40
707836050875-97,"Slovenská poľnohospodárska a potravinárska komora",1,50000,"Promotes their own interests or the collective interests of their members",SLOVAKIA,SLOVAKIA,,,,https://www.lobbyfacts.eu/datacard/slovenská-poľnohospodárska-a-potravinárska-komora?rid=707836050875-97
708686396346-11,"European Network of Logistics Competence Centres",2,50000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/european-network-of-logistics-competence-centres?rid=708686396346-11
708910994947-85,"European Society for Prevention Research",0.1,50000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/european-society-for-prevention-research?rid=708910994947-85
709372119396-21,"EOLO SpA",1.5,50000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/eolo-spa?rid=709372119396-21
70969654430-75,"Deloitte LLP",0.1,50000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,4,13,https://www.lobbyfacts.eu/datacard/deloitte-llp?rid=70969654430-75
709702119813-55,"Asociación Nacional de Fabricantes de Productos de Dietética Infantil",0.5,50000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,1,,https://www.lobbyfacts.eu/datacard/asociación-nacional-de-fabricantes-de-productos-de-dietética-infantil?rid=709702119813-55
710969625197-53,"Confédération Européenne des Organisations Nationales de la Boulangerie et de la Pâtisserie",1.5,50000,"Promotes their own interests or the collective interests of their members",SPAIN,BELGIUM,,,1,https://www.lobbyfacts.eu/datacard/confédération-européenne-des-organisations-nationales-de-la-boulangerie-et-de-la-pâtisserie?rid=710969625197-53
711487948488-97,"Italfor srl",1.95,50000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/italfor-srl?rid=711487948488-97
712143799640-77,"Geo Sat, Lda",0.55,50000,"Promotes their own interests or the collective interests of their members",PORTUGAL,PORTUGAL,,,2,https://www.lobbyfacts.eu/datacard/geo-sat-lda?rid=712143799640-77
712202298863-35,Temu,0.95,50000,"Promotes their own interests or the collective interests of their members",IRELAND,IRELAND,2,2,6,https://www.lobbyfacts.eu/datacard/temu?rid=712202298863-35
712860327581-87,"Polymateria Limited",0.35,50000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,2,1,https://www.lobbyfacts.eu/datacard/polymateria-limited?rid=712860327581-87
71398235851-66,"Ordem dos Solicitadores e dos Agentes de Execução",1.25,50000,"Promotes their own interests or the collective interests of their members",PORTUGAL,PORTUGAL,,,,https://www.lobbyfacts.eu/datacard/ordem-dos-solicitadores-e-dos-agentes-de-execução?rid=71398235851-66
7141843101769-86,"MTV Oy",0.1,50000,"Promotes their own interests or the collective interests of their members",FINLAND,FINLAND,1,1,,https://www.lobbyfacts.eu/datacard/mtv-oy?rid=7141843101769-86
7150963103109-93,"Hungarian Water Partnership Limited",1,50000,"Promotes their own interests or the collective interests of their members",HUNGARY,HUNGARY,,,,https://www.lobbyfacts.eu/datacard/hungarian-water-partnership-limited?rid=7150963103109-93
7152082101460-75,"Alpha Quest Funds",2.25,50000,"Promotes their own interests or the collective interests of their members",MALTA,MALTA,,,1,https://www.lobbyfacts.eu/datacard/alpha-quest-funds?rid=7152082101460-75
7153001103421-70,"AESC Group Ltd",0.7,50000,"Promotes their own interests or the collective interests of their members",JAPAN,FRANCE,,,,https://www.lobbyfacts.eu/datacard/aesc-group-ltd?rid=7153001103421-70
715505150890-62,"Società italiana mobilità e turismo sostenibili",1.9,50000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/società-italiana-mobilità-e-turismo-sostenibili?rid=715505150890-62
716040710061-25,"European Language Equality Network",1.1,50000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,1,10,1,https://www.lobbyfacts.eu/datacard/european-language-equality-network?rid=716040710061-25
716456240763-43,"Handwerkskammer Koblenz",0.85,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/handwerkskammer-koblenz?rid=716456240763-43
716628348153-86,"Enpal B.V.",0.25,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,1,,https://www.lobbyfacts.eu/datacard/enpal-bv?rid=716628348153-86
716658146507-27,"Finance Innovation",0.2,50000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/finance-innovation?rid=716658146507-27
717009651265-42,"European Industrial Fasteners Institute",1.35,50000,"Promotes their own interests or the collective interests of their members",BELGIUM,ITALY,,,1,https://www.lobbyfacts.eu/datacard/european-industrial-fasteners-institute?rid=717009651265-42
7176309101080-07,"beIN SPORTS France",0.2,50000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/bein-sports-france?rid=7176309101080-07
7187264100394-90,"Vår Energi",0.25,50000,"Promotes their own interests or the collective interests of their members",NORWAY,NORWAY,,,1,https://www.lobbyfacts.eu/datacard/vår-energi?rid=7187264100394-90
7194437100536-24,"Lubelski Klub Biznesu Stowarzyszenie",0.5,50000,"Promotes their own interests or the collective interests of their members",POLAND,POLAND,,,,https://www.lobbyfacts.eu/datacard/lubelski-klub-biznesu-stowarzyszenie?rid=7194437100536-24
720197936300-30,"Glyphosate Renewal Group",0.4,50000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/glyphosate-renewal-group?rid=720197936300-30
721715934783-72,"Verband der österreichischen Arzneimittel-Vollgroßhändler",1,50000,"Promotes their own interests or the collective interests of their members",AUSTRIA,AUSTRIA,,,,https://www.lobbyfacts.eu/datacard/verband-der-österreichischen-arzneimittel-vollgroßhändler?rid=721715934783-72
722428647916-62,"European Consumer Electronics Retail Council",1,50000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,1,6,,https://www.lobbyfacts.eu/datacard/european-consumer-electronics-retail-council?rid=722428647916-62
722865639438-43,"Internet Infrastructure Coalition",0.6,50000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,,2,https://www.lobbyfacts.eu/datacard/internet-infrastructure-coalition?rid=722865639438-43
723043319169-84,"DFL Deutsche Fußball Liga GmbH",0.25,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,1,1,https://www.lobbyfacts.eu/datacard/dfl-deutsche-fußball-liga-gmbh?rid=723043319169-84
723677097008-61,Domea.dk,0.1,50000,"Promotes their own interests or the collective interests of their members",DENMARK,DENMARK,,,1,https://www.lobbyfacts.eu/datacard/domeadk?rid=723677097008-61
725124143641-59,"PVH Europe, B.V.",1.35,50000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/pvh-europe-bv?rid=725124143641-59
726299447638-38,"ifok GmbH",2,50000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,,,1,https://www.lobbyfacts.eu/datacard/ifok-gmbh?rid=726299447638-38
727026495328-64,"Biohit Oyj",0.2,50000,"Promotes their own interests or the collective interests of their members",FINLAND,FINLAND,,2,2,https://www.lobbyfacts.eu/datacard/biohit-oyj?rid=727026495328-64
727236253172-92,"Kiinteistönomistajat ja rakennuttajat Rakli ry - Finnish Property Owners Rakli",0.65,50000,"Promotes their own interests or the collective interests of their members",FINLAND,FINLAND,1,2,,https://www.lobbyfacts.eu/datacard/kiinteistönomistajat-ja-rakennuttajat-rakli-ry---finnish-property-owners-rakli?rid=727236253172-92
727718796354-69,"Federation of Belgian industrial energy consumers",0.3,50000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/federation-of-belgian-industrial-energy-consumers?rid=727718796354-69
729306398187-19,"C2X LTD",0.65,50000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/c2x-ltd?rid=729306398187-19
7295843103361-88,ECOPOL,0.3,50000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/ecopol?rid=7295843103361-88
729653952267-59,"SMM Legal Maciak Mataczyński Czech sp.k.",0.25,50000,"Advances interests of their clients",POLAND,POLAND,,,,https://www.lobbyfacts.eu/datacard/smm-legal-maciak-mataczyński-czech-spk?rid=729653952267-59
730122140412-58,"International Organization of the Flavor Industry",0.5,50000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/international-organization-of-the-flavor-industry?rid=730122140412-58
730956540738-28,"Fingrid Oyj",1.35,50000,"Promotes their own interests or the collective interests of their members",FINLAND,FINLAND,,,3,https://www.lobbyfacts.eu/datacard/fingrid-oyj?rid=730956540738-28
731109791717-49,"Data Boiler Technologies, LLC",0.25,50000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,,,https://www.lobbyfacts.eu/datacard/data-boiler-technologies-llc?rid=731109791717-49
731968449839-02,"Ahlstrom Oyj",1.25,50000,"Promotes their own interests or the collective interests of their members",FINLAND,FINLAND,,,,https://www.lobbyfacts.eu/datacard/ahlstrom-oyj?rid=731968449839-02
7326624100543-26,"Open Web Advocacy",0.75,50000,"Promotes their own interests or the collective interests of their members",AUSTRALIA,AUSTRALIA,,,,https://www.lobbyfacts.eu/datacard/open-web-advocacy?rid=7326624100543-26
733224446113-58,"Les Entreprises du Voyage",0.2,50000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/les-entreprises-du-voyage?rid=733224446113-58
